"","temp_C","viscosity_m2_s","viscosity_cSt","column","group","fluid","fit","lwr","upr"
"1",30,2.8e-04,276.49,"300_A","TECNICO","SAE_20W50",282.015,274.608,289.421
"2",40,1.6e-04,164.49,"300_A","TECNICO","SAE_20W50",153.857,150.082,157.631
"3",50,1e-04,99.83,"300_A","TECNICO","SAE_20W50",96.16,92.698,99.623
"4",60,7e-05,67.5,"300_A","TECNICO","SAE_20W50",65.497,62.316,68.677
"5",70,4e-05,44.04,"150_A","TECNICO","SAE_20W50",47.338,44.496,50.18
"6",80,3e-05,31.49,"150_A","TECNICO","SAE_20W50",35.732,33.221,38.244
"7",90,2e-05,23.46,"150_A","TECNICO","SAE_20W50",27.882,25.666,30.097
"8",1e+02,2e-05,17.93,"150_A","TECNICO","SAE_20W50",22.333,20.373,24.293
"9",105,2e-05,15.52,"150_A","TECNICO","SAE_20W50",20.152,18.305,21.998
"10",110,1e-05,13.83,"150_A","TECNICO","SAE_20W50",18.271,16.529,20.013
"11",115,1e-05,12.39,"150_A","TECNICO","SAE_20W50",16.638,14.993,18.283
"12",30,2.8e-04,276.81,"300_B","TECNICO","SAE_20W50",282.015,274.608,289.421
"13",40,1.6e-04,165.01,"300_B","TECNICO","SAE_20W50",153.857,150.082,157.631
"14",50,1e-04,100.75,"300_B","TECNICO","SAE_20W50",96.16,92.698,99.623
"15",60,7e-05,68.34,"300_B","TECNICO","SAE_20W50",65.497,62.316,68.677
"16",70,4e-05,44.9,"150_B","TECNICO","SAE_20W50",47.338,44.496,50.18
"17",80,3e-05,32.15,"150_B","TECNICO","SAE_20W50",35.732,33.221,38.244
"18",90,2e-05,24.03,"150_B","TECNICO","SAE_20W50",27.882,25.666,30.097
"19",1e+02,2e-05,18.38,"150_B","TECNICO","SAE_20W50",22.333,20.373,24.293
"20",105,2e-05,15.93,"150_B","TECNICO","SAE_20W50",20.152,18.305,21.998
"21",110,1e-05,14.2,"150_B","TECNICO","SAE_20W50",18.271,16.529,20.013
"22",115,1e-05,12.74,"150_B","TECNICO","SAE_20W50",16.638,14.993,18.283
