temp_C	viscosity_m2_s	viscosity_cSt	column	group	fluid
30	4.75530E-04	475.530	UNKNOWN	G1	glycerine
40	2.25800E-04	229.800	300_A	G1	glycerine
50	1.17710E-04	117.710	300_A	G1	glycerine
60	6.64310E-05	66.431	300_A	G1	glycerine
70	4.01360E-05	40.136	300_A	G1	glycerine
80	2.57210E-05	25.721	150_A	G2	glycerine
90	1.73510E-05	17.351	150_A	G2	glycerine
100	1.22420E-05	12.242	150_A	G2	glycerine
105	1.04400E-05	10.440	150_A	G2	glycerine
110	8.98610E-06	8.986	150_A	G2	glycerine
30	4.60000E-04	460.000	UNKNOWN	G2	glycerine
40	2.30000E-04	230.000	300_B	G2	glycerine
50	1.18000E-04	118.000	300_B	G2	glycerine
60	6.67000E-05	66.700	300_B	G3	glycerine
70	4.05000E-05	40.500	300_B	G3	glycerine
80	2.60000E-05	26.000	150_B	G3	glycerine
90	1.74000E-05	17.400	150_B	G3	glycerine
100	1.23000E-05	12.300	150_B	G3	glycerine
105	1.05000E-05	10.500	150_B	G3	glycerine
110	8.99000E-06	8.990	150_B	G3	glycerine
