temp_C	viscosity_m2_s	viscosity_cSt	column	group	fluid
30	1.78E-04	178.01	300_A	TECNICO	SAE_40
40	1.05E-04	105.1	300_A	G1	SAE_40
50	6.65E-05	66.464	300_A	G1	SAE_40
60	4.46E-05	44.585	300_A	G1	SAE_40
70	3.14E-05	31.35	150_A	G1	SAE_40
80	2.30E-05	23.006	150_A	G2	SAE_40
90	1.75E-05	17.467	150_A	G2	SAE_40
100	1.36E-05	13.648	150_A	G2	SAE_40
105	1.00E-05	10.02	150_A	TECNICO	SAE_40
110	7.03E-06	7.034	150_A	G2	SAE_40
30	1.76E-04	176	300_B	G3	SAE_40
40	1.00E-04	100	300_B	G3	SAE_40
50	6.70E-05	67	300_B	G3	SAE_40
60	4.60E-05	46	300_B	G3	SAE_40
70	3.10E-05	31	150_B	G3	SAE_40
80	2.20E-05	22	150_B	TECNICO	SAE_40
90	1.80E-05	18	150_B	G3	SAE_40
100	1.30E-05	13	150_B	TECNICO	SAE_40
105	9.00E-06	9	150_B	G3	SAE_40
110	7.00E-06	7.034	150_B	G3	SAE_40
110	7.00E-06	7.034	150_B	G3	SAE_40
110	7.00E-06	7.034	150_B	G3	SAE_40
110	7.00E-06	7.034	150_B	G3	SAE_40
70	3.14E-05	31.35	150_A	G1	SAE_40
70	3.14E-05	31.35	150_A	G1	SAE_40
70	3.14E-05	31.35	150_A	G1	SAE_40
30	1.78E-04	178.01	300_A	TECNICO	SAE_40
40	1.00E-04	100	300_B	G3	SAE_40
